id,email_subject,email_content,sender,sender_domain,has_link,has_attachment,urgency_level,suspicious_keywords,phishing_type,risk_label,explanation,source_url,source_type
T0001,校園 IT 服務維護通知 - Official app notice 15,校園系統將於週五晚間進行維護，期間服務可能短暫中斷。本通知不要求點擊連結或輸入帳密。 Scenario variation 15: this case is framed for school mailbox and mentions action before the end of the day. 此通知沒有要求輸入帳密、付款、下載附件或掃描 QR Code。,校園 IT 服務,it.example.edu.tw,false,false,low,maintenance;no action required;no login request;維護;不要求登入,legitimate_it_maintenance,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://www.itc.ntnu.edu.tw/wp-content/uploads/2021/07/UP03_antiphishing.pdf,taiwan_education
T0002,Payment confirmation required for overdue invoice - Final reminder 02,An updated billing statement is available. Open the attached document to prevent payment delays. This is a sanitized case with the attachment removed. Scenario variation 2: this case is framed for mobile browser and mentions action within 24 hours. It asks the recipient to open a file instead of viewing the invoice from a known vendor portal.,Vendor Payments,vendor-pay.example.invalid,false,true,high,invoice;attached;payment;overdue;附件;付款文件,invoice_attachment,phishing,用發票、帳單或付款文件誘導開啟附件，可能導致憑證竊取或惡意程式感染。,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor
T0003,最後通知：信箱容量與登入權限即將受限 - Verification window open 10,"We detected a sign-in attempt from a new device. To prevent account suspension, review the activity within 24 hours using the secure verification page. This is a sanitized training sample; the original link has been removed. Scenario variation 10: this case is framed for business mailbox and mentions action this week. The message claims access will be limited unless the recipient confirms identity through a removed verification button.",Mail Administrator,mail-quota.example.invalid,true,false,medium,account locked;verify;unusual sign-in;suspension;立即驗證;帳號停用,account_lock,phishing,利用帳號停用、異常登入或安全驗證製造壓力，誘導使用者交出帳密或驗證碼。,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education
T0004,退款通知：請更新付款資料 - Security update required 04,A refund is pending but your payment method must be verified before it can be released. This sample removes the original link and uses a neutral sender. Scenario variation 4: this case is framed for business mailbox and mentions action this week. The message frames card verification as necessary to release a refund or keep a subscription active.,Refund Support,refund-service.example.invalid,true,false,medium,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://helpcenter.trendmicro.com/en-us/article/tmka-20565,security_vendor
T0005,You have been selected for a customer bonus - Verification window open 03,您已符合抽獎活動資格，請立即填寫個人資料並支付手續費完成領獎。此為安全示範案例。 Scenario variation 3: this case is framed for school mailbox and mentions action before the end of the day. 內容以名額有限、最後通知或領獎期限誘導使用者快速提供資料。,領獎服務中心,claim-prize.example.invalid,true,false,high,winner;claim;processing fee;gift card;中獎;手續費,fake_prize,phishing,以中獎或獎勵為誘因，要求先支付手續費或提供個人與金融資料。,https://www.vac.gov.tw/vac_service/pingtung/cp-1616-189456-115.html,taiwan_government
T0006,Your order has shipped - 資訊通知 10,Your order has shipped. You can check delivery status by opening the official shopping app and reviewing your order page. This notice does not ask for payment or personal data. Scenario variation 10: this case is framed for business mailbox and mentions action this week. The safer path is to open the official app or manually type the official website address.,Order Updates,orders.example.com,false,false,low,order shipped;official app;no extra fee;訂單;不要求付款,legitimate_delivery_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0007,Refund pending: verify payment method - 限時處理 13,A refund is pending but your payment method must be verified before it can be released. This sample removes the original link and uses a neutral sender. Scenario variation 13: this case is framed for email and mentions action within 2 hours. The message frames card verification as necessary to release a refund or keep a subscription active.,Refund Support,refund-service.example.invalid,true,false,medium,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://www.microsoft.com/en-us/security/business/security-101/what-is-phishing-email,security_vendor
T0008,帳號安全警示：請立即完成驗證 - Final reminder 09,系統偵測到異常登入活動，請於今日內完成帳號驗證，以免服務被暫停。此為安全改寫範例，未保留任何真實連結。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. 信件暗示若不立即操作，郵件或雲端服務會被限制使用。,Account Security Center,secure-mail.example.invalid,true,false,high,account locked;verify;unusual sign-in;suspension;立即驗證;帳號停用,account_lock,phishing,利用帳號停用、異常登入或安全驗證製造壓力，誘導使用者交出帳密或驗證碼。,https://usa.kaspersky.com/resource-center/preemptive-safety/phishing-email,security_vendor
T0009,Email service maintenance window - 無需回覆 11,A maintenance window is planned for the learning platform. Please save work before the window begins. This notice contains no login request. Scenario variation 11: this case is framed for 個人信箱 and mentions action 於今日內. 此通知沒有要求輸入帳密、付款、下載附件或掃描 QR Code。,System Notification,system.example.edu,false,false,low,maintenance;no action required;no login request;維護;不要求登入,legitimate_it_maintenance,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://its.fcu.edu.tw/en/infosec/phishing-20241219,taiwan_education
T0010,Your password was changed successfully - 無需回覆 11,We noticed a new sign-in and recommend reviewing activity from the official account settings page. No link or attachment is required in this training example. Scenario variation 11: this case is framed for 個人信箱 and mentions action 於今日內. 此通知沒有要求輸入帳密、付款、下載附件或掃描 QR Code。,IT Service Desk,it.example.edu,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://its.fcu.edu.tw/en/infosec/phishing-20241219,taiwan_education
T0011,"Congratulations, your prize is waiting - 請立即確認 05","A reward has been reserved under your email address. Submit personal information today to avoid forfeiting the benefit. This message is paraphrased from public scam guidance. Scenario variation 5: this case is framed for 個人信箱 and mentions action 於今日內. It may request gift cards, payment app transfers, or bank information in later steps.",Customer Bonus Team,bonus-gift.example.invalid,true,false,high,winner;claim;processing fee;gift card;中獎;手續費,fake_prize,phishing,以中獎或獎勵為誘因，要求先支付手續費或提供個人與金融資料。,https://consumer.ftc.gov/consumer-alerts/2023/07/ftc-wont-demand-money-threaten-you-or-promise-you-prize,government
T0012,Confirm card details to receive refund - 重新驗證通知 07,A refund is pending but your payment method must be verified before it can be released. This sample removes the original link and uses a neutral sender. Scenario variation 7: this case is framed for email and mentions action within 2 hours. The message frames card verification as necessary to release a refund or keep a subscription active.,Refund Support,refund-service.example.invalid,true,false,medium,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://www.microsoft.com/en-us/security/business/security-101/what-is-phishing-email,security_vendor
T0013,Mailbox verification by QR code - Verification window open 03,您的信箱需要重新驗證，請掃描信件中的 QR Code 完成登入。此為教學用安全改寫案例。 Scenario variation 3: this case is framed for school mailbox and mentions action before the end of the day. 信件要求掃描 QR Code 重新驗證，降低使用者檢查網址的機會。,身分驗證通知,qr-auth.example.invalid,true,false,high,QR code;scan;authentication;verify;掃描;重新驗證,qr_phishing,phishing,將惡意連結藏在 QR code 中，繞過一般使用者對網址的檢查。,https://openphish.com/phishing_activity.html,threat_intel
